지점,지점명,일시,평균기온
108,서울,Dec-39,-0.9
108,서울,Jan-40,-7.4
108,서울,Feb-40,-2.3
108,서울,Mar-40,3.7
108,서울,Apr-40,9.7
108,서울,May-40,16.3
108,서울,Jun-40,20.1
108,서울,Jul-40,23.4
108,서울,Aug-40,24.3
108,서울,Sep-40,19.9
108,서울,Oct-40,14.7
108,서울,Nov-40,6.8
108,서울,Dec-40,-0.2
108,서울,Jan-41,-3.8
108,서울,Feb-41,-2.4
108,서울,Mar-41,3.8
108,서울,Apr-41,10
108,서울,May-41,16.7
108,서울,Jun-41,21.2
108,서울,Jul-41,23.7
108,서울,Aug-41,23.8
108,서울,Sep-41,19.7
108,서울,Oct-41,12.9
108,서울,Nov-41,7.7
108,서울,Dec-41,0.4
108,서울,Jan-42,-6.4
108,서울,Feb-42,-3.5
108,서울,Mar-42,5.9
108,서울,Apr-42,9.9
108,서울,May-42,15.3
108,서울,Jun-42,22
108,서울,Jul-42,26
108,서울,Aug-42,25.4
108,서울,Sep-42,20
108,서울,Oct-42,12.5
108,서울,Nov-42,4.7
108,서울,Dec-42,-1.2
108,서울,Jan-43,-6.6
108,서울,Feb-43,-2.4
108,서울,Mar-43,5.4
108,서울,Apr-43,10.6
108,서울,May-43,16.7
108,서울,Jun-43,21.5
108,서울,Jul-43,26
108,서울,Aug-43,27.8
108,서울,Sep-43,20.9
108,서울,Oct-43,13.8
108,서울,Nov-43,6.1
108,서울,Dec-43,0
108,서울,Jan-44,-4.3
108,서울,Feb-44,-2.4
108,서울,Mar-44,3.2
108,서울,Apr-44,9.6
108,서울,May-44,15.9
108,서울,Jun-44,21.4
108,서울,Jul-44,25.3
108,서울,Aug-44,25.5
108,서울,Sep-44,20.7
108,서울,Oct-44,13.5
108,서울,Nov-44,7.8
108,서울,Dec-44,-5.7
108,서울,Jan-45,-7.8
108,서울,Feb-45,-4.9
108,서울,Mar-45,2.3
108,서울,Apr-45,11
108,서울,May-45,13.6
108,서울,Jun-45,20.1
108,서울,Jul-45,23.2
108,서울,Aug-45,25.5
108,서울,Sep-45,21.3
108,서울,Oct-45,13.5
108,서울,Nov-45,8.4
108,서울,Dec-45,-1.7
108,서울,Jan-46,-3.2
108,서울,Feb-46,-0.7
108,서울,Mar-46,2.5
108,서울,Apr-46,10.9
108,서울,May-46,16
108,서울,Jun-46,20.9
108,서울,Jul-46,25.6
108,서울,Aug-46,25.7
108,서울,Sep-46,19.9
108,서울,Oct-46,13.8
108,서울,Nov-46,8.8
108,서울,Dec-46,-4.3
108,서울,Jan-47,-3.9
108,서울,Feb-47,-5.3
108,서울,Mar-47,1.5
108,서울,Apr-47,10.5
108,서울,May-47,15.9
108,서울,Jun-47,18.7
108,서울,Jul-47,22.9
108,서울,Aug-47,25.1
108,서울,Sep-47,19.6
108,서울,Oct-47,11.8
108,서울,Nov-47,3.5
108,서울,Dec-47,-5.4
108,서울,Jan-48,-4.5
108,서울,Feb-48,-1.4
108,서울,Mar-48,4.7
108,서울,Apr-48,12.5
108,서울,May-48,16
108,서울,Jun-48,20.9
108,서울,Jul-48,24.3
108,서울,Aug-48,25.8
108,서울,Sep-48,20.2
108,서울,Oct-48,13.3
108,서울,Nov-48,5.1
108,서울,Dec-48,3.8
108,서울,Jan-49,-3
108,서울,Feb-49,1.3
108,서울,Mar-49,3.4
108,서울,Apr-49,9.9
108,서울,May-49,16.4
108,서울,Jun-49,20.5
108,서울,Jul-49,24.8
108,서울,Aug-49,26.1
108,서울,Sep-49,20.8
108,서울,Oct-49,13.9
108,서울,Nov-49,7
108,서울,Dec-49,-1.3
108,서울,Jan-50,-1.3
108,서울,Feb-50,-0.4
108,서울,Mar-50,4.6
108,서울,Apr-50,13.1
108,서울,May-50,17.5
108,서울,Jun-50,20.8
108,서울,Jul-50,26
108,서울,Aug-50,26.5
108,서울,Dec-53,0.6
108,서울,Jan-54,-1.5
108,서울,Feb-54,0.4
108,서울,Mar-54,3.1
108,서울,Apr-54,11.8
108,서울,May-54,16.6
108,서울,Jun-54,19.6
